algorithm,n,trial,time_ms,max_depth,comparisons
MergeSort,100,1,0,4,600
MergeSort,100,2,0,4,644
MergeSort,100,3,0,4,628
MergeSort,100,4,0,4,629
MergeSort,100,5,0,4,613
MergeSort,1000,1,1,7,10291
MergeSort,1000,2,1,7,10488
MergeSort,1000,3,0,7,10191
MergeSort,1000,4,0,7,10325
MergeSort,1000,5,0,7,10328
MergeSort,5000,1,1,10,58559
MergeSort,5000,2,2,10,58514
MergeSort,5000,3,1,10,58668
MergeSort,5000,4,1,10,58396
MergeSort,5000,5,1,10,58531
MergeSort,10000,1,8,11,126991
MergeSort,10000,2,7,11,126887
MergeSort,10000,3,8,11,127231
MergeSort,10000,4,4,11,127188
MergeSort,10000,5,2,11,126900
MergeSort,20000,1,3,12,273964
MergeSort,20000,2,3,12,274108
MergeSort,20000,3,3,12,273663
MergeSort,20000,4,3,12,274326
MergeSort,20000,5,3,12,274215
QuickSort,100,1,0,3,661
QuickSort,100,2,0,3,646
QuickSort,100,3,0,3,663
QuickSort,100,4,0,3,791
QuickSort,100,5,0,3,666
QuickSort,1000,1,1,6,12073
QuickSort,1000,2,0,5,12349
QuickSort,1000,3,0,5,11318
QuickSort,1000,4,0,5,13439
QuickSort,1000,5,0,5,12384
QuickSort,5000,1,1,7,68575
QuickSort,5000,2,1,7,70983
QuickSort,5000,3,1,7,75192
QuickSort,5000,4,2,7,75618
QuickSort,5000,5,2,6,75033
QuickSort,10000,1,8,7,167510
QuickSort,10000,2,4,7,179916
QuickSort,10000,3,4,8,157808
QuickSort,10000,4,3,7,156397
QuickSort,10000,5,1,7,155813
QuickSort,20000,1,3,8,346709
QuickSort,20000,2,2,8,349805
QuickSort,20000,3,3,8,342917
QuickSort,20000,4,2,8,337028
QuickSort,20000,5,3,9,355974
DeterministicSelect,100,1,3,1,209
DeterministicSelect,100,2,0,1,206
DeterministicSelect,100,3,0,1,216
DeterministicSelect,100,4,0,1,195
DeterministicSelect,100,5,0,1,200
DeterministicSelect,1000,1,1,1,1970
DeterministicSelect,1000,2,0,1,2202
DeterministicSelect,1000,3,0,1,1953
DeterministicSelect,1000,4,0,1,2072
DeterministicSelect,1000,5,0,1,1938
DeterministicSelect,5000,1,2,1,9799
DeterministicSelect,5000,2,3,1,11116
DeterministicSelect,5000,3,3,1,10513
DeterministicSelect,5000,4,0,1,10671
DeterministicSelect,5000,5,0,1,10313
DeterministicSelect,10000,1,1,1,20886
DeterministicSelect,10000,2,1,1,20174
DeterministicSelect,10000,3,0,1,20475
DeterministicSelect,10000,4,1,1,20722
DeterministicSelect,10000,5,1,1,20626
DeterministicSelect,20000,1,2,1,39418
DeterministicSelect,20000,2,3,1,40921
DeterministicSelect,20000,3,2,1,40820
DeterministicSelect,20000,4,1,1,41288
DeterministicSelect,20000,5,1,1,41215
ClosestPair,100,1,13,6,141
ClosestPair,100,2,1,6,143
ClosestPair,100,3,1,6,158
ClosestPair,100,4,0,6,132
ClosestPair,100,5,0,6,147
ClosestPair,500,1,3,8,871
ClosestPair,500,2,2,8,858
ClosestPair,500,3,1,8,866
ClosestPair,500,4,1,8,857
ClosestPair,500,5,1,8,849
ClosestPair,1000,1,2,9,1739
ClosestPair,1000,2,3,9,1757
ClosestPair,1000,3,3,9,1731
ClosestPair,1000,4,3,9,1737
ClosestPair,1000,5,2,9,1736
ClosestPair,2000,1,4,10,3513
ClosestPair,2000,2,8,10,3507
ClosestPair,2000,3,9,10,3543
ClosestPair,2000,4,9,10,3508
ClosestPair,2000,5,7,10,3545
